cik,AccountsPayableCurrent_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,DeferredTaxAssetsValuationAllowance_USD,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeTaxExpenseBenefit_USD,InterestPaidNet_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,OperatingIncomeLoss_USD,OperatingLeaseRightOfUseAsset_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromIssuanceOfCommonStock_USD,ProfitLoss_USD,PropertyPlantAndEquipmentNet_USD,RetainedEarningsAccumulatedDeficit_USD,ShareBasedCompensation_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockholdersEquity_USD,UnrecognizedTaxBenefits_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares
8868,709400000.0,-1133800000.0,622800000.0,1315100000.0,2564300000.0,364900000.0,,,373400000.0,1000.0,101.34,101.34,0.0,2327600000.0,,101.34,,,,,2564300000.0,2294800000.0,3431500000.0,,,,,,153100000.0,,,,,,,,-360500000.0,,,-871500000.0,372100000.0,,
8947,53715000.0,-27185000.0,,324710000.0,1009869000.0,19195000.0,,,19195000.0,100000000.0,25430000.0,25430000.0,25430000.0,,,25364052.0,,,,,1009869000.0,123455000.0,385791000.0,,,,,,38474000.0,,,,,,,201178000.0,552443000.0,,,624078000.0,,,
9092,34923000.0,1313000.0,,223688000.0,471217000.0,72273000.0,,,,40000000.0,37221098.0,37221098.0,37221000.0,2140000.0,,29145410.0,,,,,471217000.0,68036000.0,,,,,,,6865000.0,,,,,,,82705000.0,314850000.0,,,361259000.0,1123000.0,,
9326,,4173000.0,165160000.0,266888000.0,1165843000.0,84571000.0,,,84571000.0,120000000.0,32372621.0,32372621.0,2160000.0,130000.0,,32392805.0,,,,,1165843000.0,94428000.0,337610000.0,,,,,,5838000.0,,2000000.0,0.0,0.0,,,228096000.0,656740000.0,,,828233000.0,5335000.0,,
9346,,21759000.0,,,1722827000.0,58301000.0,,,70429000.0,,,,,0.0,,,,,,,1722827000.0,,1359745000.0,,,,,,120000.0,,,,,,,38144000.0,286143000.0,,,363082000.0,0.0,,
9389,3430000000.0,-954000000.0,,4675000000.0,18252000000.0,1366000000.0,,,1381000000.0,1100000000.0,679524325.0,,1167000000.0,264000000.0,,,,,,,18252000000.0,4444000000.0,14915000000.0,,,,,,302000000.0,,15000000.0,,,,,,6192000000.0,,,3275000000.0,55000000.0,,
9984,112428000.0,-122315000.0,,642345000.0,2676226000.0,79145000.0,,,91468000.0,150000000.0,64171321.0,,642000.0,3757000.0,,,,,,,2676226000.0,295379000.0,,,,,,,27539000.0,,3000000.0,,0.0,,,370947000.0,1519811000.0,,,1382677000.0,9156000.0,,
10048,1257000.0,-1636000.0,,9979000.0,14041000.0,5334000.0,,,5334000.0,20000000.0,8445060.0,,4223000.0,,,8277160.0,,,,,14041000.0,4609000.0,15700000.0,,,,,,227000.0,,,,,,,2904000.0,-3313000.0,,,-1662000.0,,,
10254,6232000.0,,,34733000.0,1005257000.0,,,,1494000.0,,,,,17044000.0,,,,,,,1005257000.0,55494000.0,,,,,,,2450000.0,,20000000.0,0.0,0.0,,,900000.0,-195258000.0,,,344881000.0,,,
10329,23426000.0,-1394000.0,,160678000.0,402549000.0,45799000.0,,,,50000000.0,9942787.0,9942787.0,49714000.0,0.0,,9949008.0,,,,,402549000.0,118371000.0,,,,,,,116903000.0,,,,,,,90917000.0,109710000.0,,,158030000.0,,,
10456,1043000000.0,-3314000000.0,,8411000000.0,20019000000.0,3730000000.0,,,3736000000.0,2000000000.0,683494944.0,,683000000.0,454000000.0,,505103894.0,,,,,20019000000.0,3333000000.0,11293000000.0,,,,,,603000000.0,,,,0.0,,,4722000000.0,16328000000.0,,,8689000000.0,90000000.0,,
10795,,-2414000000.0,,9537000000.0,54748000000.0,3248000000.0,,,3447000000.0,,,,365000000.0,,,290559991.0,,,,,54748000000.0,7021000000.0,,,,,,,,,,,,,,6096000000.0,13522000000.0,,,24663000000.0,,,
