cik,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockValue_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,RetainedEarningsAccumulatedDeficit_USD,StockholdersEquity_USD
1296484,45086000.0,293032000.0,19328000.0,1000000000.0,39831972.0,398000.0,293032000.0,25414000.0,158814000.0,-345370000.0,120701000.0
1376227,,426159914.0,342942967.0,,,,426159914.0,,11563407.0,,
1180145,293081000.0,348936000.0,73783000.0,100000000.0,40191609.0,39000.0,348936000.0,48085000.0,75104000.0,-369024000.0,273832000.0
1341766,93150665.0,131289773.0,43248021.0,100000000.0,72262829.0,72263.0,131289773.0,26365092.0,26962330.0,-55426832.0,104327000.0
103145,586931000.0,898064000.0,129625000.0,120000000.0,49723751.0,497000.0,898064000.0,146681000.0,489690000.0,-707321000.0,408374000.0
57131,888197000.0,1740172000.0,390324000.0,150000000.0,,46316000.0,1740172000.0,550847000.0,,401117000.0,779426000.0
1606909,111341769.0,450404145.0,46897216.0,100000000.0,45447751.0,4545.0,450404145.0,110809330.0,,23179805.0,182765765.0
1796303,307019.0,76842150.0,200580.0,50000000.0,3146733.0,314.0,76842150.0,727110.0,5029470.0,-2334813.0,5000010.0
1409375,56667000.0,73668000.0,12279000.0,200000000.0,40227900.0,0.0,73668000.0,33416000.0,37882000.0,-85295000.0,35786000.0
1848334,,,,,,,,,,,-3400.0
25445,1573700000.0,4615000000.0,551000000.0,200000000.0,72426139.0,72400000.0,4615000000.0,1056600000.0,3083900000.0,2192800000.0,1528900000.0
1572694,,,,,,,,,,,1615141000.0
1492426,3070408000.0,6072616000.0,2079906000.0,600000000.0,221721674.0,22000.0,6072616000.0,875740000.0,,-215886000.0,4025351000.0
1810140,18240000.0,26217000.0,935000.0,250000000.0,6111200.0,1000.0,26217000.0,35695000.0,39533000.0,-26726000.0,-13316000.0
1621906,790846.0,22846173.0,565250.0,,30084053.0,29886367.0,22846173.0,628471.0,4072807.0,-11087459.0,18773366.0
1001316,611740000.0,625642000.0,553439000.0,175000000.0,140617606.0,141000.0,625642000.0,87554000.0,106292000.0,-980597000.0,
821483,636469000.0,2133861000.0,68309000.0,500000000.0,54002538.0,540000.0,2133861000.0,878680000.0,1887587000.0,-477028000.0,246274000.0
1528308,9529788.0,18087480.0,1121104.0,195000000.0,155582058.0,15558.0,18087480.0,7122062.0,7122062.0,-626226.0,10523457.0
1570585,5802400000.0,59092700000.0,1327200000.0,,,,59092700000.0,4511100000.0,45794300000.0,4692100000.0,13662600000.0
1657564,,,,,,,,,,,-11905.0
1113809,100193000.0,261372000.0,34840000.0,50000000.0,15930958.0,159000.0,261372000.0,89328000.0,,6942000.0,67308000.0
1458581,,,,500000000.0,31932843.0,31933.0,,1280903.0,1280903.0,-3539233.0,-1280904.0
1815302,1285389.0,346308718.0,1041923.0,,,,346308718.0,164564.0,40125534.0,-38817678.0,-38816816.0
1724344,60132000.0,61558000.0,53247000.0,125000000.0,36637357.0,37000.0,61558000.0,8565000.0,9269000.0,-184455000.0,52289000.0
101538,1808161.0,13299502.0,722377.0,150000000.0,75949757.0,759496.0,13299502.0,4477543.0,6113113.0,-32650794.0,7186389.0
1610601,1800284000.0,3558706000.0,515547000.0,,,,3558706000.0,385707000.0,1285092000.0,1294113000.0,
93389,598536000.0,956540000.0,19488000.0,30000000.0,23936036.0,47872000.0,956540000.0,302602000.0,406304000.0,463612000.0,550236000.0
1860173,,,,,,,,,,,
1417398,1355300000.0,4015300000.0,265800000.0,,75800000.0,0.0,4015300000.0,875500000.0,2809000000.0,541400000.0,1185900000.0
105016,1484445000.0,2484347000.0,146067000.0,,,,2484347000.0,487145000.0,,636373000.0,1486678000.0
1839519,25000.0,25000.0,25000.0,,,,25000.0,,1471.0,-1471.0,23529.0
1676580,85852.0,260852.0,7102.0,100000000.0,397867.0,40.0,260852.0,686268.0,686268.0,-3485302.0,-425416.0
1350593,577900000.0,1397500000.0,223000000.0,,,1600000.0,1397500000.0,136300000.0,742300000.0,-697600000.0,655200000.0
1563568,1939132.0,2408718.0,136222.0,350000000.0,1.0,100.0,2408718.0,2728043.0,2880878.0,-472260.0,-472160.0
1428522,180548000.0,191582000.0,91436000.0,200000000.0,46779479.0,5000.0,191582000.0,73173000.0,315241000.0,-1345822000.0,-123659000.0
1740797,384321.0,634232.0,29514.0,250000000.0,3950.0,26282.0,634232.0,968356.0,-334124.0,-385058.0,-334124.0
1857086,,,100.0,,,,,,,,
903651,31861000.0,57254000.0,17573000.0,75000000.0,28984000.0,289000.0,57254000.0,18346000.0,31004000.0,4833000.0,29640000.0
1714899,1495655000.0,1604280000.0,507144000.0,400000000.0,120531333.0,1531000.0,1604280000.0,71699000.0,453749000.0,-354415000.0,1150531000.0
1572702,2132000.0,6914000.0,1380000.0,,,,6914000.0,2952000.0,,,
1428439,1697640000.0,2270542000.0,1092815000.0,1150000000.0,128004000.0,13000.0,2270542000.0,520321000.0,942527000.0,-332406000.0,1328015000.0
811830,,149432676000.0,12621281000.0,800000000.0,,17876818000.0,149432676000.0,,128169964000.0,1843765000.0,19886878000.0
1623360,82394.0,89973.0,58730.0,900000000.0,470476740.0,470477.0,89973.0,3812567.0,3814734.0,-13632879.0,-3724761.0
763532,99417000.0,181281000.0,13584000.0,40000000.0,,129622000.0,181281000.0,41236000.0,,-403000.0,
888491,,9497449000.0,163535000.0,350000000.0,231199000.0,23119000.0,9497449000.0,,5460842000.0,2594735000.0,3841876000.0
